ma,slope,fwd_days,n_event,event_mean%,event_wr%,n_base,base_mean%,base_wr%,edge%,wr_edge%
5,all,1,2647,0.29607308902908086,53.30562901397809,1318,0.19111747414016106,54.24886191198786,0.1049556148889198,-0.943232898009768
5,all,5,2612,1.320393125382477,57.77182235834609,1305,0.22784364507691404,57.31800766283525,1.0925494803055629,0.4538146955108431
5,all,10,2576,2.29761822798471,60.75310559006211,1294,1.4722785408359642,62.13292117465224,0.825339687148746,-1.3798155845901263
5,all,20,2417,4.271602921536155,61.108812577575506,1212,3.2344506306195493,62.87128712871287,1.0371522909166053,-1.762474551137366
5,up,1,828,0.07859946232662775,55.193236714975846,345,0.453634039740864,62.31884057971015,-0.3750345774142363,-7.125603864734302
5,up,5,819,0.7059851179609535,59.0964590964591,342,1.4357663611831668,63.1578947368421,-0.7297812432222133,-4.061435640383003
5,up,10,801,0.6888322057582321,58.30212234706617,338,2.6148801188099298,66.86390532544378,-1.9260479130516976,-8.561782978377614
5,up,20,770,3.2635480129996455,58.311688311688314,320,3.9853003736006003,64.6875,-0.7217523606009548,-6.3758116883116855
10,all,1,1845,0.5036647678383285,54.363143631436316,2120,0.05015886835612889,52.971698113207545,0.4535058994821996,1.391445518228771
10,all,5,1830,1.7188735076610193,58.08743169398907,2087,0.28781230536882474,57.21130809774797,1.4310612022921947,0.8761235962411007
10,all,10,1801,2.7175361874629913,61.13270405330372,2069,1.4159063864231523,61.285645239246016,1.301629801039839,-0.15294118594229644
10,all,20,1665,4.938866904233353,60.78078078078078,1964,3.065888508205318,62.4745417515275,1.872978396028035,-1.693760970746716
10,up,1,647,0.6786488751171695,58.11437403400309,541,0.24432038421102262,55.45286506469501,0.4343284909061469,2.6615089693080805
10,up,5,639,1.5640820770217756,58.37245696400626,533,-0.14980233852351885,57.03564727954972,1.7138844155452944,1.33680968445654
10,up,10,629,1.7939481898621792,57.5516693163752,532,1.0447290292168947,59.02255639097744,0.7492191606452845,-1.4708870746022455
10,up,20,597,5.192555172600528,57.28643216080402,523,3.2996645143272456,59.847036328871894,1.8928906582732825,-2.5606041680678757
20,all,1,1359,0.4045834665519633,55.114054451802794,2606,0.1864042081859522,52.83960092095165,0.2181792583660111,2.27445353085114
20,all,5,1349,1.3826606688309429,56.93106004447739,2568,0.7324741269748681,57.982866043613704,0.6501865418560747,-1.0518059991363131
20,all,10,1325,2.6292242020803673,61.132075471698116,2545,1.7053323848227355,61.2573673870334,0.9238918172576318,-0.12529191533528206
20,all,20,1228,3.164500792942629,58.306188925081436,2401,4.314290483935955,63.43190337359434,-1.1497896909933258,-5.125714448512902
20,up,1,721,0.5937067931908262,52.56588072122053,774,0.3569961567951156,55.16795865633075,0.2367106363957106,-2.6020779351102163
20,up,5,717,1.9065389118107035,56.90376569037657,759,1.0805253679202136,57.70750988142292,0.8260135438904899,-0.8037441910463556
20,up,10,703,3.6725804299643316,59.88620199146515,752,2.1068994452322523,56.78191489361702,1.5656809847320794,3.104287097848129
20,up,20,679,3.7025985715696597,59.499263622974965,740,6.020952472396275,61.75675675675676,-2.3183539008266156,-2.257493133781793
25,all,1,1168,0.5044157625214573,55.65068493150685,2740,0.1447078456367056,52.481751824817515,0.3597079168847517,3.1689331066893374
25,all,5,1160,1.4001805577044735,57.58620689655172,2700,0.7572456953990646,57.51851851851852,0.6429348623054089,0.06768837803320338
25,all,10,1141,2.4776975295516284,60.64855390008764,2672,1.8074078679310122,61.30239520958084,0.6702896616206162,-0.6538413094931954
25,all,20,1082,3.4722626696193677,59.79667282809612,2490,4.123140425041114,62.44979919678715,-0.650877755421746,-2.6531263686910265
25,up,1,727,0.8493317339142152,55.84594222833562,941,0.18870234596397772,52.70988310308183,0.6606293879502375,3.1360591252537944
25,up,5,720,1.4780692161187627,56.111111111111114,921,1.2803260489686934,54.39739413680782,0.19774316715006934,1.7137169743032956
25,up,10,710,2.056455464298208,56.901408450704224,911,2.3097611793214945,55.7628979143798,-0.25330571502328647,1.138510536324425
25,up,20,688,2.245255400209254,57.55813953488372,881,6.02117290616174,61.06696935300795,-3.7759175059524863,-3.5088298181242266
50,all,1,689,0.31531437763723785,54.57184325108853,2876,0.2846265896607599,53.61613351877608,0.030687787976477976,0.9557097323124495
50,all,5,676,1.1510335317527869,56.21301775147929,2841,1.0413922075229778,58.14853924674411,0.1096413242298091,-1.9355214952648154
50,all,10,670,2.3163428816725316,60.44776119402985,2800,2.2091540714106292,62.285714285714285,0.1071888102619023,-1.837953091684433
50,all,20,625,5.032722938601599,58.56,2604,4.195902646658767,63.325652841781874,0.836820291942832,-4.765652841781872
50,up,1,458,0.5790844550420267,54.366812227074234,1458,0.34058121371678024,53.77229080932785,0.23850324132524642,0.5945214177463853
50,up,5,446,0.6370766343482728,55.15695067264574,1433,1.3955017391463405,56.94347522679693,-0.7584251047980677,-1.7865245541511854
50,up,10,440,1.943302158377604,58.86363636363637,1411,2.5266032430026533,60.453579021970235,-0.5833010846250493,-1.589942658333868
50,up,20,402,3.5755683921485883,60.44776119402985,1313,5.15580334441375,65.80350342726581,-1.5802349522651613,-5.355742233235958
75,all,1,517,0.8917324972384985,52.22437137330754,2570,0.19531675763206355,53.96887159533074,0.6964157396064349,-1.7445002220231984
75,all,5,512,2.291791149975351,56.8359375,2527,0.8883704247429727,58.13217253660467,1.4034207252323785,-1.2962350366046707
75,all,10,510,4.215282338290851,64.70588235294117,2482,1.98691112432289,61.76470588235294,2.228371213967961,2.941176470588232
75,all,20,472,7.6048425444749155,68.64406779661017,2279,4.424383591780864,64.01930671347083,3.1804589526940514,4.624761083139347
75,up,1,307,1.4000549347699183,51.465798045602604,1595,0.22875900348957826,54.858934169278996,1.17129593128034,-3.393136123676392
75,up,5,303,1.6147724855542331,56.76567656765677,1559,1.1400317030148361,57.408595253367544,0.474740782539397,-0.6429186857107752
75,up,10,302,4.147055609089343,65.23178807947019,1531,2.24132212052721,60.80992815153495,1.9057334885621335,4.421859927935245
75,up,20,264,5.5691824674848975,70.45454545454545,1392,4.754541417206274,66.37931034482759,0.8146410502786239,4.075235109717866
100,all,1,365,1.4059096726171039,54.24657534246575,2291,0.26818589533544795,55.04146660846792,1.137723777281656,-0.7948912660021676
100,all,5,361,3.778260393388049,60.94182825484764,2247,1.2150112385097949,58.25545171339564,2.563249154878254,2.686376541452006
100,all,10,355,5.129319594625967,66.7605633802817,2206,3.0147728059993764,63.41795104261106,2.1145467886265905,3.342612337670637
100,all,20,321,7.763082644926287,64.48598130841121,1999,6.334230579842301,68.68434217108555,1.4288520650839862,-4.198360862674335
100,up,1,226,1.9261186689177807,53.097345132743364,1594,0.2984275371682957,55.269761606022584,1.627691131749485,-2.1724164732792204
100,up,5,223,2.631486371032114,56.95067264573991,1557,1.4545410587462182,57.54656390494541,1.176945312285896,-0.5958912592055015
100,up,10,217,3.4751606504058152,59.44700460829493,1528,3.1356146765027315,62.17277486910995,0.3395459739030837,-2.7257702608150183
100,up,20,191,1.2401581060800395,57.068062827225134,1385,6.309206549750673,68.88086642599278,-5.069048443670633,-11.812803598767644
200,all,1,139,0.3051084145622165,59.71223021582734,1617,0.2702797861225191,53.98886827458256,0.03482862843969742,5.723361941244782
200,all,5,138,1.5193209033942954,57.971014492753625,1570,1.1172361042865018,55.22292993630573,0.4020847991077936,2.7480845564478926
200,all,10,134,2.776013852532531,67.91044776119404,1527,2.5228902810865663,58.87360838244925,0.25312357144596476,9.036839378744787
200,all,20,120,3.319173034021228,64.16666666666667,1300,3.948662439721202,62.76923076923077,-0.6294894056999736,1.397435897435905
200,up,1,74,0.23483620017827697,60.810810810810814,1366,0.27103033203373167,54.17276720351391,-0.0361941318554547,6.638043607296908
200,up,5,73,0.8456563851462774,53.42465753424658,1319,1.1734063790724505,55.19332827899924,-0.3277499939261731,-1.7686707447526615
200,up,10,70,2.0694623249013264,62.857142857142854,1281,2.4791791475241305,58.313817330210775,-0.40971682262280407,4.54332552693208
200,up,20,64,2.1608795025553587,62.5,1089,3.7218563419116633,61.98347107438016,-1.5609768393563046,0.5165289256198378
